,State,Crime Rate,Year,Total,Number,Standard error,Poverty Percent
78,New Hampshire,1.1,2007,1312,76,11,5.8
79,New Jersey,4.4,2007,8548,742,63,8.7
80,New Mexico,8.2,2007,1941,271,27,14.0
81,New York,4.2,2007,19021,2757,121,14.5
82,North Carolina,6.5,2007,9170,1423,84,15.5
83,North Dakota,1.9,2007,614,57,7,9.3
84,Ohio,4.5,2007,11280,1446,85,12.8
85,Oklahoma,6.1,2007,3551,476,44,13.4
86,Oregon,1.9,2007,3761,481,47,12.8
87,Pennsylvania,5.8,2007,12297,1273,81,10.4
88,Rhode Island,1.8,2007,1042,99,12,9.5
89,South Carolina,8.0,2007,4380,617,54,14.1
90,South Dakota,2.1,2007,787,74,8,9.4
91,Tennessee,6.4,2007,6137,906,66,14.8
92,Texas,5.9,2007,23653,3903,148,16.5
93,Utah,2.2,2007,2651,255,26,9.6
94,Vermont,1.9,2007,613,61,7,9.9
95,Virginia,5.3,2007,7678,664,59,8.6
96,Washington,2.7,2007,6503,661,60,10.2
97,West Virginia,3.5,2007,1793,265,22,14.8
98,Wisconsin,3.3,2007,5458,601,56,11.0
99,Wyoming,3.1,2007,518,56,6,10.9
100,Alabama,7.6,2008,4716,675,57,14.3
101,Alaska,4.1,2008,672,55,7,8.2
102,Arizona,6.3,2008,6529,1172,79,18.0
103,Arkansas,5.7,2008,2822,431,36,15.3
104,California,5.8,2008,36637,5344,174,14.6
105,Colorado,3.2,2008,4908,541,55,11.0
106,Connecticut,3.5,2008,3433,276,34,8.1
107,Delaware,6.5,2008,861,82,9,9.6
108,Florida,6.4,2008,18022,2370,110,13.1
109,Georgia,6.6,2008,9541,1477,84,15.5
110,Hawaii,1.9,2008,1255,125,13,9.9
111,Idaho,1.5,2008,1515,185,18,12.2
112,Illinois,6.1,2008,12687,1564,90,12.3
113,Indiana,5.1,2008,6288,901,66,14.3
114,Iowa,2.5,2008,2986,285,32,9.5
115,Kansas,4.0,2008,2716,346,34,12.7
116,Kentucky,4.6,2008,4246,724,58,17.1
117,Louisiana,11.9,2008,4326,788,60,18.2
